time,value
1613492100.0,18.4
1613493000.0,18.4
1613493900.0,18.3
1613494800.0,18.2
1613495700.0,18.0
1613496600.0,17.9
1613497500.0,18.0
1613498400.0,17.7
1613499300.0,17.8
1613500200.0,17.4
1613501100.0,17.4
1613502000.0,16.8
1613502900.0,15.9
1613503800.0,15.8
1613504700.0,15.9
1613505600.0,16.0
1613506500.0,16.1
1613507400.0,16.3
1613508300.0,16.6
1613509200.0,16.4
1613510100.0,16.8
1613511000.0,16.5
1613511900.0,16.9
1613512800.0,17.2
1613513700.0,17.2
1613514600.0,17.9
1613515500.0,18.5
1613516400.0,18.4
1613517300.0,17.8
1613518200.0,18.0
1613519100.0,17.7
1613520000.0,18.2
1613520900.0,18.4
1613521800.0,18.5
1613522700.0,18.5
1613523600.0,18.6
1613524500.0,18.6
1613525400.0,18.4
1613526300.0,18.4
1613527200.0,18.5
1613528100.0,18.5
1613529000.0,18.5
1613529900.0,18.4
1613530800.0,18.3
1613531700.0,18.4
1613532600.0,18.4
1613533500.0,18.4
1613534400.0,18.4
1613535300.0,18.4
1613536200.0,18.3
1613537100.0,18.1
1613538000.0,17.9
1613538900.0,19.3
1613539800.0,19.3
1613540700.0,19.2
1613541600.0,19.2
1613542500.0,18.8
1613543400.0,18.5
1613544300.0,18.2
1613545200.0,17.7
1613546100.0,17.6
1613547000.0,17.4
1613547900.0,17.7
1613548800.0,18.0
1613549700.0,17.9
1613550600.0,17.9
1613551500.0,16.9
1613552400.0,17.7
1613553300.0,17.9
1613554200.0,17.7
1613555100.0,17.4
1613556000.0,17.4
1613556900.0,17.5
1613557800.0,17.6
1613558700.0,16.8
1613559600.0,17.8
1613560500.0,18.0
1613561400.0,18.0
1613562300.0,17.9
1613563200.0,18.0
1613564100.0,17.9
1613565000.0,17.9
1613565900.0,18.0
1613566800.0,18.0
1613567700.0,18.1
1613568600.0,18.1
1613569500.0,18.1
1613570400.0,18.2
1613571300.0,18.2
1613572200.0,18.3
1613573100.0,18.2
1613574000.0,18.2
1613574900.0,18.2
1613575800.0,18.0
1613576700.0,18.1
1613577600.0,18.0
1613578500.0,18.2
1613579400.0,18.0
1613580300.0,17.9
1613581200.0,17.8
1613582100.0,17.9
1613583000.0,17.4
1613583900.0,17.7
1613584800.0,17.8
1613585700.0,17.7
1613586600.0,17.3
1613587500.0,17.0
1613588400.0,17.2
1613589300.0,17.1
1613590200.0,16.8
1613591100.0,16.6
1613592000.0,16.6
1613592900.0,16.8
1613593800.0,16.7
1613594700.0,17.1
1613595600.0,17.1
1613596500.0,17.8
1613597400.0,17.5
1613598300.0,17.9
1613599200.0,17.4
1613600100.0,17.6
1613601000.0,17.8
1613601900.0,18.3
1613602800.0,18.0
1613603700.0,17.7
1613604600.0,17.8
1613605500.0,17.8
